,Chris,Germán,Hubert,Laurids,Paula,Agreement,Agreement girls,Agreement guys,Real labels,Majority Vote,Sexism ,Correct,Tweets:
1,0,0,0,0,0,1,1,1,0,0,yes,Correct,@user nice new signage. Are you not concerned by Beatlemania -style hysterical crowds crongregating on you…
2,0,0,0,0,0,1,1,1,1,0,yes,Wrong,A woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot 😎
3,1,1,1,1,1,1,1,1,1,1,no,Correct,@user @user real talk do you have eyes or were they gouged out by a rapefugee?
4,1,0,1,1,1,0,1,0,1,1,yes,Mismatch,your girlfriend lookin at me like a groupie in this bitch!
5,1,1,0,1,1,0,1,0,0,1,yes,Mismatch,Hysterical woman like @user
6,0,0,0,0,0,1,1,1,0,0,no,Correct,Me flirting- So tell me about your father...
7,1,0,1,0,1,0,1,0,0,1,no,Mismatch,"The Philippine Catholic bishops' work for migrant workers should focus on families who are ""paying the great..."
8,1,1,0,0,1,0,1,0,1,1,yes,Mismatch,I AM NOT GOING AFTER YOUR EX BF YOU LIEING SACK OF SHIT ! I'm done with you dude that's why I dumped your ass cause your a lieing 😂😡 bitch
9,0,0,0,0,0,1,1,1,0,0,no,Correct,When cuffin season is finally over
10,1,1,1,1,1,1,1,1,1,1,no,Correct,"Send home migrants not in need of protection, Peter Dutton tells UN, HEY DUTTON HOW ABOUT THE ONES THAT HAVE STAYED AND NOT LEFT THE COUNTRY WHEN THEY SHOULD OVERSTAYERS ? WHY DONT YOU GO AND ROUND ALL THEM UP ?"
11,1,1,0,1,0,0,0,0,1,1,yes,Mismatch,"Cory Booker and Kamala Harris competing for Most Hysterical Woman at the Kavanaugh hearings, Coulter hilariously tweeted.And yes, liberals immediately got triggered on Twitter, saying her joke was offensive. To them we say, suck it up, snowflakes."
12,0,0,0,0,0,1,1,1,0,0,no,Correct,Only that in you which is me can hear what I'm saying. ~Baba Ram Dass
13,1,1,1,1,1,1,1,1,1,1,no,Correct,Should have let the Libyan Manchester bomber rot in his own country. How many more mass murderers did the Royal Navy import to Britain? How many more terrorists do the NGO's rescue from international waters? #RefugeesNotWelcome
14,0,0,0,0,0,1,1,1,0,0,no,Correct,More migrants take sea route to #Spain than Italy this year: UN
15,0,0,0,0,1,0,0,0,0,0,no,Mismatch,"Essential reading for those in Scribner, Nebraska who are considering an anti-immigrant ballot measure."
16,1,0,1,1,1,0,1,0,1,1,yes,Mismatch,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen"
17,0,0,0,0,0,1,1,1,0,0,no,Correct,RT @user @user I am flattered tbh. I got an orgasm just by thinking of it you really are good at this.
18,0,0,0,0,0,1,1,1,0,0,yes,Correct,"Making them look ~anatomically correct~ just makes them... Bland. Not all women are tiny and fit, not all men are bulky."
19,1,0,0,1,1,0,1,0,1,1,yes,Mismatch,listen... i love lil b but i would not fuck with dej loaf at all. she prob got poison up in her nail polish like that bitch from holes
20,0,0,0,0,0,1,1,1,1,0,yes,Wrong,@user @user keep calling her a bitch and a whore dude real grown up.
21,1,0,1,1,1,0,1,0,1,1,no,Mismatch,"Glad your having another nice vacation. How's the illegal border crossings, illegal oportunistic migrant entries, tax payer funded hotel rooms for same without a strategic plan going? @user @user @user @user @user @user"
22,1,1,0,1,0,0,0,0,1,1,no,Mismatch,"@user Unchecked Population&amp;migration to cities is biggest evil for dirty India.Disincentive large families,such as withdrawl of sops"
23,1,1,1,1,1,1,1,1,1,1,no,Correct,"Illegal Alien Hit Man, Dragged Him For Blocks In Deadly DUI Crash #BuildTheWall #NoAmnesty #NoDACA #DeportThemAll #KeepAmericaSafe"
24,0,0,0,0,0,1,1,1,0,0,no,Correct,An Honest Article About Illegal Immigration By a Lefty?? Are Pigs Flying? -     A miracle... 
25,0,0,0,0,0,1,1,1,0,0,no,Correct,@user @user @user @user please spread the word  -&gt;&gt; using frequent flyer miles to reunite immigrant families!
26,1,1,0,0,0,0,0,0,1,0,yes,Mismatch,"knuckle up cause I'll fight for mines Yo pussy petty, U wasting time .. U seasonal, part time U get fucked up fuckin w/ mine U lil bitch"
27,0,0,1,0,0,0,1,0,0,0,yes,Mismatch,"Yes, women who protest are 'irrational' 'hysterical' 'bitters spinsters' - long history of using that shit to dismi…"
28,1,0,0,0,1,0,1,0,0,0,no,Mismatch,@user Not all men are animals. You Libs want muslims to come over still? Better pick a side.
29,0,0,0,0,0,1,1,1,0,0,no,Correct,"Federal judge to #Trump: ""imminent danger"" of ""irreparable injury to #refugees, visa-holders"", etc. @user"
30,1,1,0,1,1,0,1,0,1,1,yes,Mismatch,This bitch whom I won't name on Facebook is such a shameless woman ruining a relationship. #getalife #stopspreadinglies #hoe
31,1,0,0,1,1,0,1,0,1,1,yes,Mismatch,@user @user Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard
32,0,0,0,0,1,0,0,0,0,0,no,Mismatch,Why we need to protect refugees from the ‘˜big ideas’ designed to save them @user @user @user @user @user @user @user
33,0,0,0,0,0,1,1,1,0,0,no,Correct,Kevin Rosero of the Latino Immigrant Experience Oral History Project #NJHRIC #NewarkPublicLibrary needs help identifying Newark Latino immigrant residents to interview and capture their stories and experiences. MORE INFO:
34,1,0,0,0,0,0,0,0,0,0,yes,Mismatch,@user Are you pussy grabbing tonight??
35,0,0,0,0,0,1,1,1,0,0,no,Correct,"Some people really dont understand why I get so upset at injustices happening in this country. Trust me, it's not that I like getting my panties in a wad over dumb things. It's the fact that people like me (minority, brown, immigrant, etc) r suffering and it affects me directly"
36,0,0,0,0,0,1,1,1,0,0,no,Correct,I've been called a son of a whore and a cunt today already. It's not even 1 yet
37,0,0,0,0,0,1,1,1,0,0,no,Correct,"Pope Francis: Immigrants Provide ‘˜Enrichment’ to Society, Not ‘˜Threats’"
38,0,0,0,0,0,1,1,1,0,0,no,Correct,"What were they planning to do with the immigrant children they kidnapped? Slavery, sex traffic, organ harvesting?"
39,1,1,0,1,1,0,1,0,0,1,yes,Mismatch,masturbate intensive for that whore slut
40,0,0,0,0,0,1,1,1,0,0,no,Correct,The Truth about #Immigration
41,1,1,1,0,1,0,1,0,1,1,no,Mismatch,@user @user Must Make Illegal #Immigration and Over Stays a Felon Pass Mandatory E-Verify for #Jobs and Welfare  #Trump #MAGA #RedNationRising
42,1,1,0,0,1,0,1,0,1,1,no,Mismatch,"@user immigration on mass in Europe Kills our Culture our languages and over stretches our own resources such as Hospitals ,Schools ,now Italy ,Greece , etc , Your right send them back home but please do not separate families Islamic countries"
43,0,0,1,0,0,0,1,0,0,0,no,Mismatch,Lebanese Christian victim of a quarrel between Syrian refugees carrying knives &amp; cleavers in Lebanon
44,1,0,0,0,0,0,0,0,0,0,yes,Mismatch,"CoreCivic found its best interest is to grow US detention capacity, for women and children, by over 450%. Expanding the number of mother-child beds from 3,500 up to 20,000. This signals the largest increase in immigrant detention since WW2 #ResistICENashville photo: Julie Henry"
45,1,0,0,1,1,0,1,0,0,1,yes,Mismatch,I wonder is this is where Caitlyn gets his car services 🌚
46,1,1,0,0,1,0,1,0,1,1,yes,Mismatch,"@user Uhhhhhh, that’s stupid LITTLE bitch, ma’am 😉"
47,0,0,0,0,1,0,0,0,0,0,no,Mismatch,Bishop appeals to church groups to take action as migrants now account for 11 percent of reported cases
48,1,1,1,1,1,1,1,1,1,1,yes,Correct,Because some women are stupid
49,0,0,0,1,0,0,1,0,1,0,yes,Mismatch,@user BITCH TEXT ME
50,1,1,1,1,1,1,1,1,1,1,no,Correct,"because they had a cross on !! The lovely NHS  cannot get 100 Indian Doctors over from India because of Immigration rules ,good  do we want to hire from a land of Rapists and ignorant beliefs sadly we cannot get enough training places here, why dont we use nurse Practitioners#"
51,1,1,1,0,1,0,1,0,1,1,no,Mismatch,"@user RT @user Don't betray Your #Voters on #Immigration. #Americans, #WeThePeople, & the #USA reject #DACA, #Amnesty, the #DreamAct, & all #illegal immigration. Do Not Break Our Constitutional Laws. Deport all illegals & #DACA immigr"
52,0,0,0,0,1,0,0,0,1,0,yes,Mismatch,@user Elizabeth Warren's radical agenda to abolish ICE and create open borders must be stopped. Geoff Diehl is the only candidate with a proven record of fighting illegal immigration. VOTE FOR @user FOR SENATE in MA
53,1,1,0,1,1,0,1,0,1,1,yes,Mismatch,What an absolute cock womble this cunt is. Does she also alude to the fact she recieved FREE university education aswel.
54,1,1,0,1,1,0,1,0,1,1,yes,Mismatch,No matter what color a girl is she still a ho 😂😂
55,0,0,0,0,0,1,1,1,0,0,no,Correct,"@user I am not forcing anyone. I am just putting out my view. People believe it or not is their prerogative.Even if a single person agree with me, it is ok with me. Thanks,"
56,1,0,0,0,1,0,1,0,0,0,no,Mismatch,#FactCheck 👍 #BoycottUnitedArlines #AidingAndAbetting #Felons #WeThePeople are FED UP #EnoughIsEnough #ICE #DHS #DOJ #WakeUpAmerica #StopTheInvasion
57,1,1,1,0,0,0,0,0,0,1,no,Mismatch,"#NRC Assam Govt must initiate immediate action 2 cancel Voting id cards &amp; Aadhaar cards of the identified illegal migrants Let ""commited"" political dogs bark any length &amp; as loud as they can Nation must remain firm on its security concerns"
58,1,0,0,0,0,0,0,0,1,0,no,Mismatch,"@user Dan, WAY too tough to choose between all the lying, deceitful corrupt losers representing Dems (& some GOP). The list is long & disgusting. Embarrassing that we pay these lying losers large salaries to corrupt our democracy.#MAGA #KAG #POTUS #Tr"
59,0,0,0,0,1,0,0,0,0,0,no,Mismatch,"Russia, Turkey, Jordan are in talks on return of Syrian refugees ‘“ Lavrov"
60,1,1,1,0,1,0,1,0,1,1,no,Mismatch,"@user @user No.....really? A refugee? They are here to enrich our cultures, right? I bet ya he's older than 17 too....#sendthemback it's not late to save Europe"
61,0,0,0,0,0,1,1,1,0,0,no,Correct,NEVERRRRRRRRRRR
62,0,0,0,0,0,1,1,1,0,0,no,Correct,"Thank you, @user for taking a stand. It's up to all of us to fight misinformation and anti-immigrant hate. #SourcesMatter"
63,1,1,1,0,1,0,1,0,1,1,no,Mismatch,And now another flood of immigrants coming our way.#BuildThatWall
64,1,0,1,1,1,0,1,0,1,1,yes,Mismatch,Nothing irks me more than when bitches end it with a good guy then complain about getting hurt by a douche bag. #WakeUpYouWhore
65,0,0,0,0,0,1,1,1,0,0,no,Correct,Realizing the rights of Eritrean refugees in Israel. A new article:https://t.co/0SsTUvgQ6z
66,0,0,0,0,0,1,1,1,0,0,no,Correct,Judge orders government to release immigrant kids from Texas shelter | The Texas Tribune
